team,img_url,jugadores usados,promedio de edad,posesión,partidos,minutos jugados,goles,asistencias,goles sin penales,penales convertidos,penales pateados,tarjetas amarillas,tarjetas rojas,goles esperados,asistencias esperadas,goles recibidos,tiros recibidos,salvadas del arquero,porcentaje de salvadas,partidos sin recibir goles,penales atajados,tiros,tiros al arco,% de tiros al arco,gol x tiro,gol por tiro directo,distancia media de tiro,tiros libres al arco,pases completados,pases,% pases completados,pases cortos,passes_pct_short,pases medios completados,pases medios,% pases medios completados,pases largos completados,pases largos,% de pases largos completados,pases al tercio final,pases al area chica,centros al area chica,centros,laterales,cornens,corner adentro,corner afuera,pases fuera de juego,acciones de gol,entradas,entradas ganadas,bloqueos,tiros bloqueados,pases bloqueados,intercepciones,despejes,perdidas de balón,faltas cometidas,faltas recibidas,offsides,recuperaciones de pelota
Argentina,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-7-scaled.jpg,24,28.4,57.4,7,690,15,8,11,4,5,17,0,15.2,7.8,8,13,6,53.8,3,2,95,41,43.2,0.11,0.27,18.3,3,3911,4625,84.6,2336,91.2,1453,1636,88.8,233,431,54.1,242,64,7,94,151,39,11,17,23,25,123,69,84,14,70,52,124,81,100,115,23,357
Australia,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-9-scaled.jpg,20,28.7,37.8,4,360,3,3,3,0,0,7,0,2.3,1.9,6,18,12,66.7,2,0,26,8,30.8,0.12,0.38,18.5,0,1254,1696,73.9,643,84.9,499,612,81.5,145,306,47.4,77,15,2,54,98,8,3,5,1,6,58,30,64,20,44,40,104,36,52,34,1,200
Bélgica,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-18-scaled.jpg,20,30.6,57.0,3,270,1,1,1,0,0,5,0,4.7,3.8,2,11,8,81.8,2,1,35,9,25.7,0.03,0.11,15.6,1,1598,1885,84.8,637,90.3,866,955,90.7,148,237,62.4,102,18,2,53,49,17,5,10,3,2,48,27,33,8,25,17,59,24,30,35,3,132
Brasil,https://www.countryflags.com/wp-content/uploads/brazil-flag-png-large.png,26,28.5,56.2,5,480,8,6,7,1,1,6,0,12.0,8.2,3,10,7,70.0,2,0,95,40,42.1,0.07,0.18,17.5,7,2750,3203,85.9,1430,91.3,1190,1336,89.1,180,297,60.6,209,55,11,106,102,37,21,5,8,13,88,51,60,10,50,40,63,58,63,74,8,271
Camerún,https://www.countryflags.com/wp-content/uploads/cameroon-flag-png-large.png,22,28.0,41.7,3,270,4,4,4,0,0,8,1,3.4,2.0,4,15,11,73.3,1,0,28,16,57.1,0.14,0.25,16.4,1,960,1252,76.7,516,88.2,367,444,82.7,121,234,51.7,90,11,3,53,47,12,5,5,2,7,42,20,22,6,16,40,71,24,32,38,2,142
Canada,https://www.countryflags.com/wp-content/uploads/canada-flag-png-large.png,19,28.2,52.0,3,270,1,1,1,0,1,8,0,4.2,2.8,7,15,8,53.3,0,0,34,4,11.8,0.03,0.25,17.0,1,1307,1586,82.4,704,90.2,519,578,89.8,117,210,55.7,103,24,12,54,76,12,5,5,8,2,41,23,26,5,21,18,41,30,33,37,8,145
Costa Rica,https://www.countryflags.com/wp-content/uploads/costa-rica-flag-png-large.png,22,30.6,31.3,3,270,3,1,3,0,0,6,0,1.4,0.6,11,22,11,54.5,1,1,12,7,58.3,0.25,0.43,17.0,0,823,1101,74.8,425,85.2,352,411,85.6,92,199,46.2,35,7,2,21,43,1,1,0,13,3,67,35,42,14,28,31,83,31,24,37,13,142
Croacia,https://www.countryflags.com/wp-content/uploads/croatia-flag-png-large.png,21,29.2,54.3,7,690,8,8,8,0,0,8,0,7.0,5.6,7,31,24,80.6,2,1,79,26,32.9,0.10,0.31,18.5,1,3766,4523,83.3,2082,91.8,1413,1642,86.1,325,526,61.8,246,59,22,153,161,30,12,5,11,14,132,83,77,28,49,53,143,70,90,90,11,409
Dinamarca,https://www.countryflags.com/wp-content/uploads/denmark-flag-png-large.png,20,27.5,60.0,3,270,1,1,1,0,0,5,0,2.7,1.8,3,11,8,72.7,1,0,34,10,29.4,0.03,0.10,17.1,0,1598,1944,82.2,803,88.5,670,753,89.0,176,292,60.3,154,25,6,67,73,21,3,9,5,1,42,27,43,16,27,23,49,25,28,23,5,171
Ecuador,https://www.countryflags.com/wp-content/uploads/ecuador-flag-png-large.png,18,25.8,53.3,3,270,4,2,3,1,1,3,0,3.7,1.8,3,4,1,50.0,1,1,29,10,34.5,0.10,0.30,18.2,1,1153,1473,78.3,615,89.1,468,544,86.0,112,235,47.7,60,17,10,57,69,11,7,4,8,6,46,30,33,4,29,28,42,25,50,37,8,135
Inglaterra,https://www.countryflags.com/wp-content/uploads/england-flag-jpg-xl.jpg,20,27.0,62.8,5,450,13,11,12,1,2,1,0,8.7,5.7,4,11,7,72.7,3,1,61,27,44.3,0.20,0.44,16.0,4,2775,3211,86.4,1299,92.2,1280,1391,92.0,263,407,64.6,166,45,7,82,86,25,10,13,5,24,65,44,48,13,35,38,55,29,53,65,5,227
Francia,https://www.countryflags.com/wp-content/uploads/france-flag-png-large.png,24,27.2,51.3,7,660,16,12,14,2,2,8,0,13.8,10.3,8,27,19,81.5,1,4,100,33,33.0,0.14,0.42,15.8,2,3279,3968,82.6,1645,90.2,1411,1579,89.4,339,578,58.7,300,52,20,132,134,38,18,14,16,29,145,88,71,22,49,77,103,68,69,85,16,364
Alemaia,https://www.countryflags.com/wp-content/uploads/germany-flag-png-large.png,20,28.1,59.3,3,270,6,5,5,1,1,3,0,10.1,7.5,5,13,8,61.5,0,0,68,23,33.8,0.07,0.22,16.6,1,1686,1990,84.7,881,90.5,662,725,91.3,149,230,64.8,126,48,14,68,66,25,8,14,12,12,50,27,41,7,34,21,24,41,26,27,12,164
Ghana,https://www.countryflags.com/wp-content/uploads/ghana-flag-png-large.png,20,26.4,42.0,3,270,5,2,5,0,1,8,0,4.1,1.7,7,17,10,64.7,0,1,25,9,36.0,0.20,0.56,19.0,0,972,1256,77.4,533,89.1,376,443,84.9,99,210,47.1,67,12,4,49,56,13,9,4,4,9,54,34,37,14,23,19,84,34,46,38,4,146
Iran,https://www.countryflags.com/wp-content/uploads/iran-flag-png-large.png,21,29.3,36.7,3,270,4,2,3,1,1,7,0,3.2,2.4,7,15,8,53.3,1,0,32,8,25.0,0.09,0.38,20.6,0,769,1106,69.5,382,81.7,332,425,78.1,96,225,42.7,55,17,3,48,56,8,3,3,6,8,53,29,37,8,29,42,61,19,38,26,6,178
Japón,https://www.countryflags.com/wp-content/uploads/japan-flag-png-large.png,22,28.8,35.8,4,390,5,4,5,0,0,6,0,5.0,3.5,4,19,15,84.2,0,1,44,14,31.8,0.11,0.36,16.8,2,1324,1750,75.7,735,86.5,540,652,82.8,125,283,44.2,101,24,8,55,71,19,9,6,9,8,70,38,62,19,43,34,101,36,58,36,9,220
Corea del Sur,https://www.countryflags.com/wp-content/uploads/south-korea-flag-png-large.png,21,29.0,48.3,4,360,5,3,5,0,0,6,0,4.6,3.3,8,19,11,63.2,1,1,50,18,36.0,0.10,0.28,18.3,2,1619,2022,80.1,792,89.0,671,777,86.4,209,360,58.1,150,38,12,92,79,24,9,11,7,8,59,33,31,8,23,31,66,26,45,34,7,175
Mexico,https://www.countryflags.com/wp-content/uploads/mexico-flag-png-large.png,21,29.0,54.0,3,270,2,1,2,0,0,7,0,3.3,2.7,3,6,2,50.0,1,1,41,15,36.6,0.05,0.13,21.9,6,1097,1450,75.7,570,84.7,482,588,82.0,117,222,52.7,95,19,10,79,63,16,6,8,13,4,50,27,31,2,29,25,48,30,51,48,13,151
Marruecos,https://www.countryflags.com/wp-content/uploads/morocco-flag-png-large.png,25,27.2,39.0,7,660,6,4,6,0,0,9,1,6.6,4.6,5,14,10,64.3,4,0,61,17,27.9,0.10,0.35,19.1,3,2270,2889,78.6,1272,88.4,833,985,84.6,239,454,52.6,107,34,12,75,126,12,5,2,19,10,129,79,86,20,66,68,163,53,96,81,19,369
Holanda,https://www.countryflags.com/wp-content/uploads/netherlands-flag-png-large.png,21,27.6,53.0,5,480,10,8,10,0,0,12,1,4.6,2.9,4,22,18,86.4,2,1,42,16,38.1,0.24,0.63,16.1,1,2472,2993,82.6,1351,88.5,993,1130,87.9,230,383,60.1,186,28,6,71,107,19,7,8,8,16,91,47,58,18,40,52,97,44,87,50,8,241
Polonia,https://www.countryflags.com/wp-content/uploads/poland-flag-png-large.png,21,28.7,37.3,4,360,3,1,2,1,2,7,0,4.5,1.8,5,28,21,82.1,2,2,29,5,17.2,0.07,0.40,15.5,1,1169,1531,76.4,564,87.8,499,580,86.0,139,289,48.1,80,15,8,52,73,11,4,7,1,4,64,30,39,13,26,30,110,30,47,47,1,164
Portugal,https://www.countryflags.com/wp-content/uploads/portugal-flag-400.png,24,27.8,60.4,5,450,12,10,10,2,2,6,0,7.8,5.2,6,17,11,64.7,1,0,64,24,37.5,0.16,0.42,19.2,2,2630,3142,83.7,1384,91.8,1017,1149,88.5,289,469,61.6,173,44,14,102,93,28,5,13,14,21,66,44,43,12,31,35,58,30,55,65,14,256
Qatar,https://www.countryflags.com/wp-content/uploads/qatar-flag-png-large.png,20,29.0,43.0,3,270,1,1,1,0,0,7,0,1.4,1.2,7,12,5,50.0,0,1,20,6,30.0,0.05,0.17,21.5,0,1129,1407,80.2,580,89.5,426,494,86.2,135,228,59.2,61,13,6,42,53,9,7,1,7,2,38,22,21,4,17,24,44,22,31,45,7,138
Arabia Saudita,https://www.countryflags.com/wp-content/uploads/saudi-arabia-flag-png-large.png,23,28.1,44.7,3,270,3,2,3,0,1,14,0,3.0,1.4,5,19,14,78.9,0,1,28,8,28.6,0.11,0.38,18.7,2,870,1205,72.2,486,86.2,316,411,76.9,95,205,46.3,70,23,5,39,59,8,2,3,3,4,47,23,40,13,27,31,67,24,56,38,3,132
Senegal,https://www.countryflags.com/wp-content/uploads/senegal-flag-png-large.png,20,27.7,44.8,4,360,5,2,4,1,1,7,0,4.6,2.5,7,14,7,50.0,0,0,51,12,23.5,0.08,0.33,18.5,2,1310,1687,77.7,681,89.6,491,581,84.5,151,305,49.5,93,29,10,71,71,21,10,6,8,9,43,32,34,6,28,31,96,45,48,57,8,192
Serbia,https://www.countryflags.com/wp-content/uploads/serbia-flag-png-large.png,22,27.4,51.3,3,270,5,4,5,0,0,12,0,3.4,2.9,8,24,16,66.7,0,0,32,9,28.1,0.16,0.56,16.5,0,1181,1514,78.0,573,87.4,531,628,84.6,110,225,48.9,86,21,8,56,58,9,4,5,4,8,53,22,41,10,31,22,49,22,43,28,4,161
España,https://www.countryflags.com/wp-content/uploads/spain-flag-png-large.png,21,26.4,75.8,4,390,9,5,8,1,1,2,0,6.2,4.0,3,9,6,66.7,2,0,48,16,33.3,0.17,0.50,18.3,1,3542,3957,89.5,1519,93.7,1788,1921,93.1,268,357,75.1,291,46,8,69,102,21,4,4,11,16,53,32,31,4,27,19,37,41,41,46,11,225
Suiza,https://www.countryflags.com/wp-content/uploads/switzerland-flag-png-large.png,24,28.5,49.0,4,360,5,4,5,0,0,9,0,5.6,3.6,9,23,14,60.9,1,0,37,12,32.4,0.14,0.42,15.9,2,1663,2063,80.6,807,89.1,765,886,86.3,147,265,55.5,109,20,2,52,83,20,15,2,6,8,48,25,35,11,24,24,78,43,53,49,6,190
Tunez,https://www.countryflags.com/wp-content/uploads/tunisia-flag-png-large.png,21,27.7,44.3,3,270,1,1,1,0,0,5,0,2.3,1.9,1,10,9,90.0,2,0,32,8,25.0,0.03,0.13,18.0,0,998,1352,73.8,425,83.3,523,611,85.6,114,255,44.7,89,20,4,61,94,21,12,6,7,2,64,36,41,9,32,25,85,49,40,28,7,170
Estados Unidos,https://www.countryflags.com/wp-content/uploads/united-states-of-america-flag-png-large.png,20,25.4,53.0,4,360,3,3,3,0,0,5,0,4.1,3.5,4,12,8,75.0,2,1,45,13,28.9,0.07,0.23,17.1,1,1816,2234,81.3,895,89.4,815,927,87.9,160,281,56.9,130,30,6,93,81,22,14,6,5,6,52,34,44,4,40,25,66,45,45,40,5,212
Uruguay,https://www.countryflags.com/wp-content/uploads/uruguay-flag-png-large.png,19,28.5,48.7,3,270,2,1,2,0,0,8,0,3.7,2.8,2,7,4,85.7,2,2,33,10,30.3,0.06,0.20,19.2,1,1155,1498,77.1,623,84.6,457,563,81.2,136,222,61.3,100,22,6,41,64,8,2,4,3,3,51,31,39,8,31,32,54,27,34,36,3,166
Gales,https://www.countryflags.com/wp-content/uploads/wales-flag-jpg-xl.jpg,18,27.7,46.7,3,270,1,0,0,1,1,5,1,2.7,1.8,6,14,8,57.1,0,0,23,6,26.1,0.00,0.00,20.4,1,1044,1366,76.4,451,84.3,486,578,84.1,155,261,59.4,62,12,5,36,73,6,4,1,4,2,40,27,41,15,26,21,78,21,35,33,4,147